"","ticker","open","close","adj_close","low","high","volume","date"
"4006325","ZION",53.810001373291,53.4199981689453,53.4199981689453,53.3800010681152,53.9300003051758,780900,2018-08-24
"4021373","MRO",21,20.6100006103516,20.6100006103516,20.5,21.2800006866455,10284900,2018-08-24
"4050948","ATVI",71.7099990844727,74.0899963378906,74.0899963378906,71.4599990844727,74.1600036621094,8888700,2018-08-24
"4106367","COP",72.7399978637695,72.6100006103516,72.6100006103516,72.3399963378906,73.5599975585938,4924400,2018-08-24
"4131874","NLSN",26.4699993133545,26.4699993133545,26.4699993133545,26.1599998474121,26.6000003814697,5140000,2018-08-24
"4168584","VZ",54.2599983215332,54.7799987792969,54.7799987792969,54.2200012207031,54.8300018310547,8499900,2018-08-24
"4191042","SYMC",19.7099990844727,19.7600002288818,19.7600002288818,19.6000003814697,19.7600002288818,5706100,2018-08-24
"4213810","IVZ",24.4099998474121,24.1399993896484,24.1399993896484,24.1200008392334,24.4099998474121,2389900,2018-08-24
"4251770","PLD",64.5100021362305,66.0899963378906,66.0899963378906,64.5100021362305,66.1100006103516,4020600,2018-08-24
"4265470","ROK",173.199996948242,175.039993286133,175.039993286133,172.470001220703,175.429992675781,870700,2018-08-24
"4291000","ALLE",86.7699966430664,87.2699966430664,87.2699966430664,86.4199981689453,87.4100036621094,378100,2018-08-24
"4294505","JNPR",28.4799995422363,28.5799999237061,28.5799999237061,28.3999996185303,28.7399997711182,3225200,2018-08-24
"4329202","ROP",297.690002441406,296.619995117188,296.619995117188,291.940002441406,298.970001220703,678200,2018-08-24
"4353493","CPB",40.5699996948242,40.6800003051758,40.6800003051758,40.4799995422363,40.9300003051758,1863700,2018-08-24
"4385713","GOOG",1208.81994628906,1220.65002441406,1220.65002441406,1206.35900878906,1221.65002441406,946600,2018-08-24
"4414988","XOM",79.5199966430664,79.620002746582,79.620002746582,79.4199981689453,80.0500030517578,6545200,2018-08-24
"4481299","PYPL",87.9499969482422,90.0999984741211,90.0999984741211,87.9499969482422,90.129997253418,7400700,2018-08-24
"4505792","WM",90.7200012207031,90.6999969482422,90.6999969482422,90.3600006103516,91,1151100,2018-08-24
"4571137","REGN",378.350006103516,376.329986572266,376.329986572266,374.600006103516,380.190002441406,421300,2018-08-24
"4586625","ISRG",539,541.52001953125,541.52001953125,538.130004882812,542.130004882812,400200,2018-08-24
"4611688","PAYX",72.9899978637695,72.9899978637695,72.9899978637695,72.3199996948242,73.0400009155273,1121300,2018-08-24
"4647992","WU",18.9300003051758,18.8199996948242,18.8199996948242,18.7700004577637,18.9300003051758,3039500,2018-08-24
"4700565","MSI",125.599998474121,126.650001525879,126.650001525879,125.019996643066,126.98999786377,932900,2018-08-24
"4707952","CERN",65.2200012207031,65.4199981689453,65.4199981689453,65.1999969482422,65.6999969482422,835900,2018-08-24
"4736966","FRT",129.759994506836,130.089996337891,130.089996337891,129.490005493164,130.229995727539,237400,2018-08-24
"4751414","AVY",105.540000915527,105.790000915527,105.790000915527,104.73999786377,106.150001525879,385000,2018-08-24
"4854286","WY",34.5699996948242,34.8800010681152,34.8800010681152,34.4900016784668,34.9000015258789,2219500,2018-08-24
"4940646","AON",143.380004882812,145.440002441406,145.440002441406,143.160003662109,145.509994506836,1272800,2018-08-24
"5027938","AOS",58.439998626709,58.3899993896484,58.3899993896484,58.2200012207031,58.5800018310547,577200,2018-08-24
"5028770","SWKS",93.0100021362305,92.9899978637695,92.9899978637695,92.3399963378906,93.2900009155273,1416500,2018-08-24
"5180321","GPC",99.6399993896484,99.129997253418,99.129997253418,98.6800003051758,99.8300018310547,409800,2018-08-24
"5183119","APA",43.3300018310547,43.4900016784668,43.4900016784668,43.2299995422363,43.8899993896484,1589100,2018-08-24
"5194974","STI",74.1800003051758,73.75,73.75,73.6800003051758,74.3300018310547,1622600,2018-08-24
